epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1349.75,2.15188,4.32688,2.00749,0.3137,0.23463,0.17539,0.07074,2.06233,3.38861,1.94507,0.00199584,0.00199584,0.00199584
2,1686.77,1.9821,3.14768,1.80309,0.31416,0.2556,0.16454,0.06397,2.06892,2.90977,1.87661,0.00399487,0.00399487,0.00399487
3,1955.91,1.99615,2.71661,1.82113,0.34403,0.31739,0.27223,0.11598,1.96816,2.37302,1.76886,0.00598999,0.00598999,0.00598999
4,2223.15,2.02003,2.56661,1.84058,0.35788,0.3138,0.2697,0.10611,2.00688,2.41879,1.86095,0.00797828,0.00797828,0.00797828
5,2491.18,2.09984,2.61497,1.95101,0.25001,0.2199,0.142,0.05425,2.28471,2.92572,2.12932,0.00995683,0.00995683,0.00995683
6,2752.4,2.12222,2.63183,1.99876,0.27322,0.25647,0.17322,0.06797,2.14241,2.7664,2.02565,0.00993906,0.00993906,0.00993906
7,3014,2.06215,2.51061,1.95636,0.3708,0.31842,0.27684,0.11122,1.99733,2.40236,1.9107,0.00991232,0.00991232,0.00991232
8,3277.68,2.00343,2.38778,1.90187,0.40277,0.32846,0.30286,0.12802,1.93866,2.30845,1.84057,0.00988079,0.00988079,0.00988079
9,3540.19,1.97709,2.31857,1.8788,0.39802,0.35918,0.31776,0.13615,1.94953,2.24681,1.84822,0.00984449,0.00984449,0.00984449
10,3802.65,1.94712,2.27941,1.85643,0.38079,0.37529,0.34869,0.15672,1.88732,2.12529,1.80931,0.00980345,0.00980345,0.00980345
11,4064.47,1.92246,2.21705,1.82615,0.41677,0.39836,0.36561,0.16551,1.88218,2.1468,1.81134,0.00975773,0.00975773,0.00975773
12,4327.35,1.9027,2.17353,1.80266,0.4426,0.40891,0.38718,0.17145,1.86537,2.09783,1.77107,0.00970736,0.00970736,0.00970736
13,4589.48,1.88192,2.14495,1.79935,0.46917,0.40984,0.40911,0.18676,1.85351,2.03153,1.76938,0.00965239,0.00965239,0.00965239
14,4852.38,1.87753,2.11741,1.79334,0.47605,0.41173,0.40962,0.18754,1.85554,2.00456,1.76749,0.00959289,0.00959289,0.00959289
15,5114.62,1.85919,2.07775,1.77573,0.50272,0.45824,0.45806,0.21281,1.81813,1.93928,1.74183,0.00952889,0.00952889,0.00952889
16,5374.72,1.84736,2.05065,1.75567,0.51596,0.43484,0.44695,0.21169,1.79771,1.89956,1.69695,0.00946048,0.00946048,0.00946048
17,5636.31,1.83981,2.02569,1.75076,0.50701,0.45696,0.45829,0.21212,1.80121,1.90267,1.70945,0.00938772,0.00938772,0.00938772
18,5899.24,1.81806,1.99442,1.74357,0.54678,0.46513,0.48097,0.22929,1.7777,1.84929,1.70851,0.00931067,0.00931067,0.00931067
19,6161.64,1.80853,1.97745,1.73892,0.52365,0.47148,0.48687,0.2332,1.74095,1.84774,1.66495,0.00922942,0.00922942,0.00922942
